序号,市级指导部门,实施清单名称,,实施编码,事项类型,备注
33,东莞市水务局,对在城市供水管道上直接装泵抽水；对水质、水压有特殊要求并自行采取措施加压的用户，未设置中间水池间接加压的行政处罚,"《广东省城市供水管理规定》第二十一条　任何单位和个人不得在城市供水管道上直接装泵抽水。对水质、水压有特殊要求并自行采取措施加压的用户，必须设置中间水池间接加压。
第三十条对违反本规定以下条款者，由县以上建设行政主管部门予以处罚：
（一）违反本规定第八、十二条的，责令补办验收手续；经验收不合格的，责令限期整改，处以1万元以上3万元以下罚款；
（二）违反本规定第十一条的，处以2万元以上3万元以下罚款；
（三）违反本规定第十五、十六、二十一条的，责令恢复原状，处以1000元以上1万元以下罚款，造成经济损失的应予以赔偿。",11441900007330248L3440214281000,行政处罚,
34,东莞市水务局,对擅自迁移、更改、转接、损坏、盗窃城市供水设施；建设单位改装、拆除或者迁移城市供水设施，未经城市供水企业同意，未报建设行政主管部门批准，未采取相应的补救措施；单位将其自建的供水管道，擅自与城市公共供水管道连接，未经城市供水企业审查同意，未报建设行政主管部门和卫生行政主管部门批准，未在管道连接处采取必要的防护措施；对使用或产生有毒有害物质的单位，将其内部供水管道与城市供水管道直接连接的行政处罚,"《广东省城市供水管理规定》第十六条　严禁擅自迁移、更改、转接、损坏、盗窃城市供水设施。因工程建设确需改装、拆除或者迁移城市供水设施的，建设单位必须经城市供水企业同意，报建设行政主管部门批准，并采取相应的补救措施。
第三十条对违反本规定以下条款者，由县以上建设行政主管部门予以处罚：
（一）违反本规定第八、十二条的，责令补办验收手续；经验收不合格的，责令限期整改，处以1万元以上3万元以下罚款；
（二）违反本规定第十一条的，处以2万元以上3万元以下罚款；
（三）违反本规定第十五、十六、二十一条的，责令恢复原状，处以1000元以上1万元以下罚款，造成经济损失的应予以赔偿。",11441900007330248L3440214282000,行政处罚,
35,东莞市水务局,对在正常供水状态下，供水企业的供水管网达不到国家规定的压力标准或间断供水；供水企业对供水设施不做定期检查、维护，造成供水设施损坏或发生供水事故；供水设施发生故障，影响正常供水，不及时抢修的行政处罚,"《广东省城市供水管理规定》第三十一条　供水企业违反本规定，有下列行为之一的，由建设行政主管部门按下列规定给予处罚：
（一）在正常供水状态下，供水管网达不到国家规定的压力标准或间断供水的，处2000元罚款，并追究企业领导人的行政责任。
（二）对供水设施不做定期检查、维护，造成供水设施损坏或发生供水事故的，处3000元罚款，并追究直接责任人和企业领导人的行政责任。
（三）供水设施发生故障，影响正常供水，不及时抢修的，处5000元罚款，并追究企业领导人的行政责任。",11441900007330248L3440214283000,行政处罚,
36,东莞市水务局,对城市自来水供水企业和自建设施对外供水的企业新建、改建、扩建的饮用水供水工程项目未经建设行政主管部门设计审查和竣工验收而擅自建设并投入使用；城市供水工程设计和施工单位不具备资质或超越资质证书范围从事供水工程设计和施工；或者未按国家规定的技术标准和规范进行城市供水工程的设计或者施工的；,"《生活饮用水卫生监督管理办法》第二十八条　城市自来水供水企业和自建设施对外供水的企业，有下列行为之一的，由住房城乡建设主管部门责令限期改进，并可处以违法所得3倍以下的罚款，但最高不超过30000元，没有违法所得的可处以10000元以下罚款：
（一）新建、改建、扩建的饮用水供水工程项目未经住房城乡建设主管部门设计审查和竣工验收而擅自建设并投入使用的；
（二）未按规定进行日常性水质检验工作的；
《中华人民共和国城市供水条例》第三十四条 违反本条例规定，有下列行为之一的，由城市供水行政主管部门责令停止违法行为，可以处以罚款；对负有直接责任的主管人员和其他责任人员，其所在单位或者上级机关可以给予行政处分；
　　（一）无证或者超越资质证书规定的经营范围进行城市供水工程的设计或者施工的；
　　（二）未按国家规定的技术标准和规范进行城市供水工程的设计或者施工的；
　　（三）违反城市供水发展规划及其年度建设计划兴建城市供水工程的。
",11441900007330248L3440214284000,行政处罚,
37,东莞市水务局,对在雨水、污水分流地区，建设单位、施工单位将雨水管网、污水管网相互混接的行政处罚,"《城镇排水与污水处理条例》第十九条 除干旱地区外，新区建设应当实行雨水、污水分流；对实行雨水、污水合流的地区，应当按照城镇排水与污水处理规划要求，进行雨水、污水分流改造。雨水、污水分流改造可以结合旧城区改建和道路建设同时进行。
在雨水、污水分流地区，新区建设和旧城区改建不得将雨水管网、污水管网相互混接。
在有条件的地区，应当逐步推进初期雨水收集与处理，合理确定截流倍数，通过设置初期雨水贮存池、建设截流干管等方式，加强对初期雨水的排放调控和污染防治。
",11441900007330248L3440214285000,行政处罚,
38,东莞市水务局,对城镇排水与污水处理设施覆盖范围内的综合未按国家规定将污水排入城镇排水设施；在雨水、污水分流地区将污水排入雨水管网的行政处罚,"《城镇排水与污水处理条例》第二十条 城镇排水设施覆盖范围内的排水单位和个人，应当按照国家有关规定将污水排入城镇排水设施。
在雨水、污水分流地区，不得将污水排入雨水管网。
《城镇排水与污水处理条例》第四十九条 违反本条例规定，城镇排水与污水处理设施覆盖范围内的排水单位和个人，未按照国家有关规定将污水排入城镇排水设施，或者在雨水、污水分流地区将污水排入雨水管网的，由城镇排水主管部门责令改正，给予警告；逾期不改正或者造成严重后果的，对单位处10万元以上20万元以下罚款，对个人处2万元以上10万元以下罚款；造成损失的，依法承担赔偿责任。",11441900007330248L3440214286000,行政处罚,
39,东莞市水务局,对城镇排水设施维护运营单位未提前通知相关综合城镇排水设施维护或检修可能对排水造成的影响或严重影响；未事先向城镇排水主管部门报告城镇排水设施维护或检修可能对排水造成的影响或严重影响，未采取应急处理措施；未按防汛要求对城镇排水设施进行全面检查、维护、清疏，影响汛期排水畅通的行政处罚,"《城镇排水与污水处理条例》第二十五条因城镇排水设施维护或者检修可能对排水造成影响的，城镇排水设施维护运营单位应当提前24小时通知相关排水户；可能对排水造成严重影响的，应当事先向城镇排水主管部门报告，采取应急处理措施，并向社会公告。
《城镇排水与污水处理条例》第二十七条城镇排水主管部门应当按照国家有关规定建立城镇排涝风险评估制度和灾害后评估制度，在汛前对城镇排水设施进行全面检查，对发现的问题，责成有关单位限期处理，并加强城镇广场、立交桥下、地下构筑物、棚户区等易涝点的治理，强化排涝措施，增加必要的强制排水设施和装备。
城镇排水设施维护运营单位应当按照防汛要求，对城镇排水设施进行全面检查、维护、清疏，确保设施安全运行。
在汛期，有管辖权的人民政府防汛指挥机构应当加强对易涝点的巡查，发现险情，立即采取措施。有关单位和个人在汛期应当服从有管辖权的人民政府防汛指挥机构的统一调度指挥或者监督。
《城镇排水与污水处理条例》第五十一条 违反本条例规定，因城镇排水设施维护或者检修可能对排水造成影响或者严重影响，城镇排水设施维护运营单位未提前通知相关排水户的，或者未事先向城镇排水主管部门报告，采取应急处理措施的，或者未按照防汛要求对城镇排水设施进行全面检查、维护、清疏，影响汛期排水畅通的，由城镇排水主管部门责令改正，给予警告；逾期不改正或者造成严重后果的，处10万元以上20万元以下罚款；造成损失的，依法承担赔偿责任。",11441900007330248L3440214288000,行政处罚,
40,东莞市水务局,对城镇排水与污水处理设施维护运营单位未按国家规定履行日常巡查、维修和养护责任，保障设施安全运行；未及时采取防护措施、组织事故抢修；因巡查、维护不到位，导致窨井盖丢失、损毁，造成人员伤亡和财产损失的行政处罚,"《城镇排水与污水处理条例》第三十八条 城镇排水与污水处理设施维护运营单位应当建立健全安全生产管理制度，加强对窨井盖等城镇排水与污水处理设施的日常巡查、维修和养护，保障设施安全运行。
从事管网维护、应急排水、井下及有限空间作业的，设施维护运营单位应当安排专门人员进行现场安全管理，设置醒目警示标志，采取有效措施避免人员坠落、车辆陷落，并及时复原窨井盖，确保操作规程的遵守和安全措施的落实。相关特种作业人员，应当按照国家有关规定取得相应的资格证书。
《城镇排水与污水处理条例》第五十五条 违反本条例规定，城镇排水与污水处理设施维护运营单位有下列情形之一的，由城镇排水主管部门责令改正，给予警告；逾期不改正或者造成严重后果的，处10万元以上50万元以下罚款；造成损失的，依法承担赔偿责任；构成犯罪的，依法追究刑事责任：
（一）未按照国家有关规定履行日常巡查、维修和养护责任，保障设施安全运行的；
（二）未及时采取防护措施、组织事故抢修的；
（三）因巡查、维护不到位，导致窨井盖丢失、损毁，造成人员伤亡和财产损失的。",11441900007330248L3440214294000,行政处罚,
41,东莞市水务局,对从事危及城镇排水与污水处理设施安全的活动的行政处罚,"《城镇排水与污水处理条例》第四十二条 禁止从事下列危及城镇排水与污水处理设施安全的活动：
（一）损毁、盗窃城镇排水与污水处理设施；
（二）穿凿、堵塞城镇排水与污水处理设施；
（三）向城镇排水与污水处理设施排放、倾倒剧毒、易燃易爆、腐蚀性废液和废渣；
（四）向城镇排水与污水处理设施倾倒垃圾、渣土、施工泥浆等废弃物；
（五）建设占压城镇排水与污水处理设施的建筑物、构筑物或者其他设施；
（六）其他危及城镇排水与污水处理设施安全的活动。
《城镇排水与污水处理条例》第五十六条 违反本条例规定，从事危及城镇排水与污水处理设施安全的活动的，由城镇排水主管部门责令停止违法行为，限期恢复原状或者采取其他补救措施，给予警告；逾期不采取补救措施或者造成严重后果的，对单位处10万元以上30万元以下罚款，对个人处2万元以上10万元以下罚款；造成损失的，依法承担赔偿责任；构成犯罪的，依法追究刑事责任。",11441900007330248L3440214295000,行政处罚,
42,东莞市水务局,对有关单位未与施工单位、设施维护运营单位等共同制定城镇排水与污水处理设施保护方案，未采取相应的安全防护措施的行政处罚,"《城镇排水与污水处理条例》第四十一条 城镇排水主管部门应当会同有关部门，按照国家有关规定划定城镇排水与污水处理设施保护范围，并向社会公布。
在保护范围内，有关单位从事爆破、钻探、打桩、顶进、挖掘、取土等可能影响城镇排水与污水处理设施安全的活动的，应当与设施维护运营单位等共同制定设施保护方案，并采取相应的安全防护措施。
《城镇排水与污水处理条例》第五十七条 违反本条例规定，有关单位未与施工单位、设施维护运营单位等共同制定设施保护方案，并采取相应的安全防护措施的，由城镇排水主管部门责令改正，处2万元以上5万元以下罚款；造成严重后果的，处5万元以上10万元以下罚款；造成损失的，依法承担赔偿责任；构成犯罪的，依法追究刑事责任。
违反本条例规定，擅自拆除、改动城镇排水与污水处理设施的，由城镇排水主管部门责令改正，恢复原状或者采取其他补救措施，处5万元以上10万元以下罚款；造成严重后果的，处10万元以上30万元以下罚款；造成损失的，依法承担赔偿责任；构成犯罪的，依法追究刑事责任。",11441900007330248L3440214296000,行政处罚,
43,东莞市水务局,对擅自拆除、改动城镇排水与污水处理设施的行政处罚,"《城镇排水与污水处理条例》第四十三条 新建、改建、扩建建设工程，不得影响城镇排水与污水处理设施安全。
建设工程开工前，建设单位应当查明工程建设范围内地下城镇排水与污水处理设施的相关情况。城镇排水主管部门及其他相关部门和单位应当及时提供相关资料。
建设工程施工范围内有排水管网等城镇排水与污水处理设施的，建设单位应当与施工单位、设施维护运营单位共同制定设施保护方案，并采取相应的安全保护措施。
因工程建设需要拆除、改动城镇排水与污水处理设施的，建设单位应当制定拆除、改动方案，报城镇排水主管部门审核，并承担重建、改建和采取临时措施的费用。
《城镇排水与污水处理条例》第五十七条 违反本条例规定，有关单位未与施工单位、设施维护运营单位等共同制定设施保护方案，并采取相应的安全防护措施的，由城镇排水主管部门责令改正，处2万元以上5万元以下罚款；造成严重后果的，处5万元以上10万元以下罚款；造成损失的，依法承担赔偿责任；构成犯罪的，依法追究刑事责任。
违反本条例规定，擅自拆除、改动城镇排水与污水处理设施的，由城镇排水主管部门责令改正，恢复原状或者采取其他补救措施，处5万元以上10万元以下罚款；造成严重后果的，处10万元以上30万元以下罚款；造成损失的，依法承担赔偿责任；构成犯罪的，依法追究刑事责任。",11441900007330248L3440214297000,行政处罚,
44,东莞市水务局,对在河道管理范围内建设妨碍行洪的建筑物构筑物或者从事影响河势稳定、危害河岸堤防安全和其他妨碍河道行洪活动的处罚（包括倾倒垃圾、渣土影响河势稳定、危害河岸堤防安全和其他妨碍河道行洪的活动）,"《广东省河道管理条例》第十八条 在河道管理范围内，禁止下列活动：
（一）建设房屋等妨碍行洪的建筑物、构筑物；
（二）修建围堤、阻水渠道、阻水道路；
（三）在行洪河道内种植阻碍行洪的林木和高杆作物；
（四）设置拦河渔具；
（五）弃置、堆放矿渣、石渣、煤灰、泥土、垃圾和其他阻碍行洪或者污染水体的物体；
（六）从事影响河势稳定、危害河岸堤防安全和妨碍河道行洪的活动；
（七）法律、法规规定的其他禁止行为。
在堤防和护堤地，禁止建房、放牧、开渠、打井、挖窖、葬坟、晒粮、存放与防汛抢险无关的物料、开采地下资源、进行考古发掘以及开展集市贸易活动。
《广东省河道管理条例》第四十四条 违反本条例第十八条第一款第四项规定，在河道管理范围内设置拦河渔具的，由县级以上人民政府水行政主管部门责令停止违法行为，排除阻碍或者采取其他补救措施，可以处五万元以下的罚款。",11441900007330248L3440216001000,行政处罚,
45,东莞市水务局,对未经审查同意工程建设方案，在河道管理范围内从事工程设施建设活动的处罚（如擅自修建水工程，或者建设桥梁、码头和其他拦河、跨河、临河建筑物、构筑物，铺设跨河管道、电缆）,"《广东省河道管理条例》 第三十二条 在河道管理范围内建设跨河、穿河、穿堤、临河的桥梁、码头、道路、渡口、管道、缆线、取水、排水、公共休闲、景观等工程设施，应当符合防洪标准以及有关技术要求，不得影响河势稳定、危害堤防安全。其工程建设方案应当按照河道管理权限，报县级以上人民政府水行政主管部门审查同意；未经审查同意，不得开工建设。
涉河建设项目需要占用河道管理范围内土地，跨越河道空间或者穿越河床的，建设单位应当经有关水行政主管部门对该工程设施建设的位置和界限核准后，方可开工建设；进行施工时，应当按照水行政主管部门核准的位置和界限进行。
涉河建设项目涉及航道和航道保护范围的，应当事先征求交通运输主管部门意见。",11441900007330248L3440216002000,行政处罚,
46,东莞市水务局,对未按照有关水行政主管部门审查批准的位置、界限，在河道管理范围内从事工程设施建设活动的处罚（如修建水工程，或者建设桥梁、码头和其他拦河、跨河、临河建筑物、构筑物，铺设跨河管道、电缆）,"《广东省河道管理条例》 第三十二条 在河道管理范围内建设跨河、穿河、穿堤、临河的桥梁、码头、道路、渡口、管道、缆线、取水、排水、公共休闲、景观等工程设施，应当符合防洪标准以及有关技术要求，不得影响河势稳定、危害堤防安全。其工程建设方案应当按照河道管理权限，报县级以上人民政府水行政主管部门审查同意；未经审查同意，不得开工建设。
涉河建设项目需要占用河道管理范围内土地，跨越河道空间或者穿越河床的，建设单位应当经有关水行政主管部门对该工程设施建设的位置和界限核准后，方可开工建设；进行施工时，应当按照水行政主管部门核准的位置和界限进行。
涉河建设项目涉及航道和航道保护范围的，应当事先征求交通运输主管部门意见。",11441900007330248L3440216003000,行政处罚,
47,东莞市水务局,对在江河、湖泊、水库、运河、渠道内弃置、堆放阻碍行洪的物体或者种植阻碍行洪的林木及高秆作物行为的处罚,"《中华人民共和国水法》第三十七条 禁止在江河、湖泊、水库、运河、渠道内弃置、堆放阻碍行洪的物体和种植阻碍行洪的林木及高秆作物。
禁止在河道管理范围内建设妨碍行洪的建筑物、构筑物以及从事影响河势稳定、危害河岸堤防安全和其他妨碍河道行洪的活动。
《中华人民共和国水法》第六十六条 有下列行为之一，且防洪法未作规定的，由县级以上人民政府水行政主管部门或者流域管理机构依据职权，责令停止违法行为，限期清除障碍或者采取其他补救措施，处一万元以上五万元以下的罚款：
（一）在江河、湖泊、水库、运河、渠道内弃置、堆放阻碍行洪的物体和种植阻碍行洪的林木及高秆作物的；
（二）围湖造地或者未经批准围垦河道的。",11441900007330248L3440216004000,行政处罚,
48,东莞市水务局,对围湖造地或者未经批准围垦河道行为的处罚,"《中华人民共和国防洪法》第二十三条 禁止围湖造地。已经围垦的，应当按照国家规定的防洪标准进行治理，有计划地退地还湖。
禁止围垦河道。确需围垦的，应当进行科学论证，经水行政主管部门确认不妨碍行洪、输水后，报省级以上人民政府批准。
《中华人民共和国防洪法》第五十六条 违反本法第十五条第二款、第二十三条规定，围海造地、围湖造地、围垦河道的，责令停止违法行为，恢复原状或者采取其他补救措施，可以处5万元以下的罚款；既不恢复原状也不采取其他补救措施的，代为恢复原状或者采取其他补救措施，所需费用由违法者承担。",11441900007330248L3440216005000,行政处罚,
49,东莞市水务局,对在江河、湖泊上建设防洪工程和其他水工程、水电站违反规划同意书要求，影响防洪但尚可采取补救措施的行为的处罚,"《中华人民共和国防洪法》第十七条 在江河、湖泊上建设防洪工程和其他水工程、水电站等，应当符合防洪规划的要求；水库应当按照防洪规划的要求留足防洪库容。
前款规定的防洪工程和其他水工程、水电站未取得有关水行政主管部门签署的符合防洪规划要求的规划同意书的，建设单位不得开工建设。
《中华人民共和国防洪法》第五十三条 违反本法第十七条规定，未经水行政主管部门签署规划同意书，擅自在江河、湖泊上建设防洪工程和其他水工程、水电站的，责令停止违法行为，补办规划同意书手续；违反规划同意书的要求，严重影响防洪的，责令限期拆除；违反规划同意书的要求，影响防洪但尚可采取补救措施的，责令限期采取补救措施，可以处1万元以上10万元以下的罚款。",11441900007330248L3440216006000,行政处罚,
50,东莞市水务局,对未按照规划治导线整治河道和修建控制引导河水流向、保护堤岸等工程，影响防洪的处罚,"《中华人民共和国防洪法》第十九条 整治河道和修建控制引导河水流向、保护堤岸等工程，应当兼顾上下游、左右岸的关系，按照规划治导线实施，不得任意改变河水流向。
国家确定的重要江河的规划治导线由流域管理机构拟定，报国务院水行政主管部门批准。
其他江河、河段的规划治导线由县级以上地方人民政府水行政主管部门拟定，报本级人民政府批准；跨省、自治区、直辖市的江河、河段和省、自治区、直辖市之间的省界河道的规划治导线由有关流域管理机构组织江河、河段所在地的省、自治区、直辖市人民政府水行政主管部门拟定，经有关省、自治区、直辖市人民政府审查提出意见后，报国务院水行政主管部门批准。
《中华人民共和国防洪法》第五十四条 违反本法第十九条规定，未按照规划治导线整治河道和修建控制引导河水流向、保护堤岸等工程，影响防洪的，责令停止违法行为，恢复原状或者采取其他补救措施，可以处1万元以上10万元以下的罚款。",11441900007330248L3440216007000,行政处罚,
51,东莞市水务局,对违反河口整治规划围海造地行为的处罚,"《中华人民共和国防洪法》第十五条 国务院水行政主管部门应当会同有关部门和省、自治区、直辖市人民政府制定长江、黄河、珠江、辽河、淮河、海河入海河口的整治规划。
在前款入海河口围海造地，应当符合河口整治规划。
《中华人民共和国防洪法》第五十六条 违反本法第十五条第二款、第二十三条规定，围海造地、围湖造地、围垦河道的，责令停止违法行为，恢复原状或者采取其他补救措施，可以处5万元以下的罚款；既不恢复原状也不采取其他补救措施的，代为恢复原状或者采取其他补救措施，所需费用由违法者承担。",11441900007330248L3440216008000,行政处罚,
